seed,score
216,1.2433052294814642
344,1.2436831069971022
276,1.2441390518273039
395,1.248054578133288
236,1.2481172427374703
343,1.2486648459493346
406,1.2502959572138717
15,1.2504388392884547
452,1.2508389731416827
39,1.2510126200887242
382,1.2551040524190902
387,1.255719275489538
9,1.2558241377787422
479,1.2594434009832414
446,1.2596926787741698
302,1.2608291560693137
219,1.2612063904560262
428,1.2614535798012474
54,1.2618866185237791
372,1.2631443529915873
223,1.263667029168475
410,1.263925810998891
427,1.2652181225808012
369,1.2653594379128803
186,1.2668927985998784
36,1.2684955397088418
377,1.2685494123564924
206,1.2694363473871557
360,1.2696046245556125
18,1.2717141111374128
397,1.275567403856691
175,1.277134087071449
246,1.2775093947563367
494,1.2790483945831859
64,1.2791540004076751
465,1.28003824140924
339,1.2805043529915878
128,1.2812118636985317
123,1.2814537569754032
63,1.2838317763552993
125,1.2854701252394545
147,1.286211227725832
490,1.2864076634096517
429,1.286666125292057
240,1.28762711307058
100,1.2891797208413884
332,1.2899958664514328
208,1.290267725722527
445,1.2908099647448967
225,1.2909034909675916
160,1.2910322240742935
135,1.291894333550322
489,1.2930924347829897
443,1.293751480878737
191,1.2981581675455778
330,1.3002754401572836
131,1.3008266007373213
86,1.3016266451651077
478,1.3052946619148442
320,1.3062329316202228
437,1.3064697026165712
486,1.306977569074578
447,1.3088727678927594
50,1.311150537407452
411,1.311859937391232
153,1.311883320401713
158,1.3123977231142843
92,1.3137622458059912
347,1.3139128206493869
460,1.313949115170325
247,1.3170335745847637
440,1.3172752470268227
60,1.3174931213095562
430,1.3176923844483022
417,1.3177836447223648
209,1.3181382632724454
328,1.3187000318797315
294,1.3226354877303033
179,1.3242467173301242
62,1.3259347711431997
432,1.332523681248712
162,1.3330370023408422
25,1.3367757043349422
286,1.3372709414109933
159,1.339294534538385
243,1.3408905233470536
96,1.3429866653515867
403,1.3438718726739527
380,1.3466753625346852
222,1.3503270310315056
438,1.354040508442813
187,1.3560511639444512
108,1.3568572134878987
287,1.3569456994033922
256,1.3594748097079217
138,1.3598456953266447
157,1.363920299158787
34,1.364182851477054
49,1.3651090543478737
423,1.36654561174235
168,1.3685067579441794
180,1.3691098553850327
363,1.3707334264738757
487,1.371393820438974
133,1.372297251581384
464,1.3729913065648793
141,1.3758921340899424
155,1.3760875691074552
97,1.380432251307409
463,1.3815109819921707
370,1.3843989998487665
227,1.3873915518601811
119,1.3892216411321963
53,1.3892314427523744
459,1.38967714902706
30,1.3896916783927966
288,1.3897615988085383
441,1.3905170637879571
261,1.395349276168997
217,1.3964904203214932
435,1.397651943874576
99,1.4020715970989337
12,1.4055072168742297
385,1.407218147545403
57,1.4125622873515606
224,1.4134278493400494
23,1.4153953199041744
393,1.4156044475677594
233,1.4203272035480856
68,1.420546978866664
220,1.4233772418936277
325,1.423948266812202
115,1.427363301398807
458,1.4296239885171593
114,1.4310181546577943
300,1.4338590541834897
176,1.4368817519824824
